Deployment_Name,Date.out,Date.in,Shift.begin.1,Shift.end.1,Shift.begin.2,Shift.end.2,Log.in.View,Deployment_Name2,Season,Notes
0101-SI17,2017-05-31T12:00:00,2017-07-11T18:22:12,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,YES,101,Summer 2017,7/11/2017 18:22:00 camera shifts to the right (only 1 stake  is visible)
0102-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,102,Summer 2017,
0103-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,103,Summer 2017,
0104-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,104,Summer 2017,
0105-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,105,Summer 2017,
0201-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,201,Summer 2017,
0202-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,202,Summer 2017,
0203-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,203,Summer 2017,
0204-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,204,Summer 2017,
0205-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-07-08T15:31:22,2017-07-10T09:11:35,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,205,Summer 2017,7/8 obstruction on left half of the camera
0206-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,206,Summer 2017,
0301-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,301,Summer 2017,
0302-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,YES,302,Summer 2017,
0303-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,303,Summer 2017,
0304-SI17,2017-05-31T12:00:00,2017-06-20T07:36:08,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,YES,304,Summer 2017,night vision light went out ( 6/20 07:36:08 all photos between 8pm and 6am look black)
0305-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-06-10T14:31:30,2017-06-12T15:29:41,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,305,Summer 2017,bear shifts camera on 6/10 and its fixed 6/12
0401-SI17,2017-05-31T12:00:00,2017-07-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,YES,401,Summer 2017,
0402-SI17,2017-05-31T12:00:00,2017-06-30T16:06:48,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,2017-05-31T12:00:00,NO,402,Summer 2017,camera shifted 6/30/2017 16:06:48
